Sample_ID,Feedstock_Type,Temperature_C,Moisture_%,pH,EC_dS_m,RH_%,NIR_Intensity,RGB_R,RGB_G,RGB_B,Texture_Entropy,Color_Variance,Maturity_Index,Contamination_Risk,Nutrient_Score
52,Manure,44.14959693855135,53.27071719792222,6.84261732804403,1.190505110364919,66.80149213721695,0.5736933864063126,119,173,119,4.707271808624475,87.91251901240082,0.6304746467168318,0.31573145202049435,0.7339333100859096
53,Manure,40.69562307299023,54.09304715757763,6.63538617826154,2.4414372014027874,79.93498069325273,0.893162227185642,166,81,155,7.4053414268968645,52.63185447089532,0.7917626726108733,0.5211534036255314,0.6697420456147053
54,CropResidue,41.71854155173426,61.00454760103644,7.78054494341706,2.018790769165609,46.8405252474283,0.471103099515,149,104,118,2.453965662749553,99.16154340660795,0.6240307988444883,0.3402562764502423,0.5770513663396467
55,Manure,34.88196478991228,53.78073083134274,7.245860025051035,2.897283930453924,94.49516837450291,0.8959814849072553,177,182,106,2.2387703325872277,27.620305858922773,0.9076355862864179,0.365394215009848,0.6475743418146184
56,HorticWaste,53.10497499150267,66.271005245715,6.21444541217236,2.20800474765775,67.55554352001997,0.6606581277557952,122,54,167,7.409640881877805,39.71383327869419,0.4693073077259363,0.5318619287085634,0.5820577521256824
57,Manure,69.25391589417082,44.329200807631665,6.326654225272009,3.2751653225708415,95.0,0.8046134801954087,91,55,74,2.1667955799401595,25.622077088415658,0.449126477751821,0.3941852777953261,0.6475833322561946
58,FoodWaste,36.659151439788445,62.795015514300964,8.5,2.0446077533765545,75.1181394193812,0.2525452958410551,84,133,193,1.0722816038226397,12.086192018715526,0.6535809038294151,0.30059453959139515,0.5471795813025704
59,FoodWaste,58.99696138972348,48.73732303152619,6.657075792948273,1.655868557520054,51.43834144528881,0.7505590286000537,198,83,115,7.007710696957889,94.52111967246553,0.4830700349242076,0.49077819759592534,0.5947319260609449
60,FoodWaste,48.66649812147294,56.91685934791159,7.541690866922305,3.8078814670217813,59.192618326786075,0.37588960685200523,137,194,123,1.3214477867932595,78.81980121880855,0.4787778114134754,0.45687774758989563,0.4707722079530877
61,FoodWaste,45.35419891782434,39.37250265593854,7.017735019322566,2.4683001984794073,75.19180263221008,0.2483421634392411,167,180,164,2.9953161258624306,84.44200508155208,0.5517880801986694,0.40801603792645835,0.5728399847641527
62,HorticWaste,41.558772634371685,73.08444080055878,6.800524599177001,3.384603653935531,61.32879484661765,0.8046139349881228,141,82,176,2.794519540928413,44.938035642555185,0.6910183767772928,0.45684478727944305,0.5096009357021059
63,AgroByproduct,44.16783129766008,54.662458134896085,7.937955346270888,1.348205588279125,64.99477486511128,0.2878142242108893,194,122,155,5.559633757411503,92.66544783691614,0.5401863125382441,0.37083673159285846,0.6982648043162516
64,PaperResidue,56.49590689698626,73.7411264714535,6.636246838140148,1.5469111640994668,50.3160277397098,0.7588676226168564,141,119,166,2.622603989434869,18.005995177160294,0.43536832873591635,0.32725691327876316,0.5251721888521197
65,CropResidue,33.61919039043488,48.94561114782451,6.758422827811975,1.2323218043490372,70.4608307811343,0.3425446606121809,187,186,98,3.5814638689228815,21.707876386114975,0.7793821891192222,0.3169983787803612,0.6404926874868991
66,FoodWaste,42.24993268848549,59.86409497216364,8.099880213407603,1.7259755187775205,89.76684663306668,0.14151028626573192,126,153,152,5.997358219129306,49.96339680814704,0.5180510178628328,0.45873222644880896,0.5689730341167967
67,Manure,57.49000207822503,73.88908733256108,6.692239590131117,1.822918133657547,67.78338912412043,0.603094164044911,107,185,72,4.474187703080657,22.907419120293916,0.37779966355385225,0.3596918833369869,0.6610759186520005
68,FoodWaste,54.837146935279975,42.36769897677158,5.87515202255311,1.7357994528301215,80.3299646965503,0.8977178434054717,145,130,64,5.643012576387844,20.477362947868073,0.5901058499394576,0.4462629260170543,0.6034746294049508
69,Manure,33.77414061049757,46.76510082845007,6.097725680047706,2.4607743123199053,64.22409765276394,0.4841521350141367,136,168,93,2.174561590629547,57.49928734537093,0.8255954990697358,0.32661058567526674,0.6834310827271046
70,PaperResidue,43.17408122218955,72.15855223493026,7.411587549932023,1.5003564027259753,85.12808376746877,0.23277529444099693,75,74,87,7.642585174468737,27.865532217407967,0.49040296192324084,0.5116266442697422,0.5306650753938407
71,PaperResidue,52.28007847834027,80.21150247525999,6.439064415918271,1.742661527758885,69.9172416982531,0.6497689107288827,191,138,175,4.6694914981923565,82.97017381071116,0.43552039710355017,0.42032772516212047,0.5024439186615357
72,PaperResidue,51.63428119321097,60.24315707495679,7.903929137187458,2.717293859949426,77.52309452747498,0.6446154069956191,77,166,126,1.0954581824970404,90.64372218726021,0.5030910998081317,0.3675208368394245,0.4936489928526151
73,Manure,54.75134521243288,45.45645663093708,7.01675099646154,4.461026980136455,67.11026900694277,0.33447651666009337,151,186,165,3.568176237935484,72.77287398954262,0.4129043420512324,0.5455588572672853,0.586035737731303
74,FoodWaste,48.842858881672974,55.231035613505355,7.609862840593244,2.976771074294242,71.55182932347978,0.8943020405525336,196,108,51,6.174018218606167,31.18478001476446,0.6364298457269564,0.5695899393889181,0.5156993750582771
75,PaperResidue,50.51953147995784,85.0,7.283056238009051,2.8835399538444535,61.68798666947905,0.8929399717587294,126,122,76,3.512318164143713,80.13067355466036,0.5199621668933605,0.47200692730909366,0.4358230023077774
76,HorticWaste,48.42796421927159,39.9966748557266,7.847822445685594,2.2324510059125866,91.06884909070334,0.38551348237136845,156,64,118,4.248906735792619,14.506615775115172,0.5364209419748043,0.41537158641827204,0.6333840999929176
77,Manure,60.79733077527891,67.91979000832254,8.5,0.5191303587878677,75.49281470923039,0.7848546760115439,96,66,182,2.2053239608590984,67.19999057721427,0.4205628893476337,0.16596051176453847,0.7382039020439616
78,Manure,40.78188820568782,61.88282062640155,7.45179049339972,2.3003576983326117,67.04267050653979,0.41154048274768307,106,87,56,2.7055198502528572,93.38446334180188,0.6221838807422484,0.33315346924553313,0.6612164738305663
79,FoodWaste,45.48191162945217,42.65423715574112,7.412761905447736,1.477561028633807,72.29832707880973,0.5106141055700991,116,150,126,1.2117202216674088,63.7037923407566,0.6182488599992693,0.25856959403201174,0.6158134742568273
80,Manure,34.850311676822905,55.293289436431564,7.889723134288721,3.52297504727252,79.19144135494248,0.5956611934152868,93,180,66,4.737915252200078,92.78334240773405,0.8135949380845776,0.5112530758968796,0.6132646687635109
81,Manure,32.87978233195588,32.931537948024385,6.548857270188758,4.071905682877449,81.73010071938123,0.33446577443977504,125,196,90,5.075588571713908,67.93888614400267,0.8382233123770763,0.5696600450123923,0.6305416399600787
82,PaperResidue,48.24956701058381,64.32330717632577,7.433224179102433,1.590379908403537,69.15279337617517,0.555618168222897,117,198,158,1.9040446884903082,80.8563403369146,0.51748553214558,0.3039333348520147,0.5418343902271716
83,FoodWaste,37.75813734058148,66.49528687650808,6.262451605145695,2.4788722330004567,81.99586320667309,0.7875461704493529,118,103,88,3.386946338212222,50.76174043283715,0.7814283913218129,0.4235831737663297,0.518065814596961
84,PaperResidue,44.42314397102644,39.5074907203802,6.392873939664853,1.1395496141798185,74.86373515299492,0.963114747070685,83,178,151,4.251057852652144,66.44344359124406,0.7833636584710271,0.35437713732277365,0.6140075378502486
85,PaperResidue,61.17749310524209,68.34945238174703,6.619393892472722,3.3282425764816868,66.76108103714338,0.3686701149215695,129,67,161,7.892415540119662,14.529088149963023,0.2914595684167476,0.6733191307946279,0.4468889664124216
86,FoodWaste,60.59937702372821,50.02298509820291,8.014867285016134,3.7484182684249667,71.09753709036981,0.4135940440214026,199,113,155,3.882190289252341,12.577547395658847,0.36445091918049,0.5479503248823767,0.48753311638234587
87,CropResidue,67.24044778688301,48.664453272521584,6.887753476578473,3.0696373452222887,68.72781435727015,0.5998813711575504,163,116,117,3.081265484048951,22.087453913223854,0.38322653145193075,0.4513505677536931,0.5491892261938424
88,PaperResidue,61.37652508399121,45.36977944654525,6.375459516221687,2.8196630538726613,93.78217913385592,0.6108040636414096,56,109,112,4.746525566581079,57.10411602497145,0.43152444029936426,0.5129666299028456,0.5182772884132764
89,HorticWaste,69.0301819178549,69.92438709954315,7.607403220069006,2.4560615329758644,76.17467079716172,0.41107771531855913,188,56,171,5.536628472027931,82.50907380303028,0.2551538049761844,0.48229536211570273,0.5623481491521205
90,HorticWaste,49.36529667812561,34.89239343946743,5.682189575221675,2.9944145683089323,82.42243543782024,0.29276435871176965,165,199,75,4.463402901289593,84.95725646654861,0.5084336202652107,0.4869121561574374,0.6054944847056185
91,Manure,35.96979417355416,36.15976161650583,5.503119357814817,2.226353584194292,87.00231736408227,0.22781501961199055,53,121,151,4.007317051399578,95.15108504322654,0.7393957576173258,0.3758038547770085,0.7163627975572737
92,HorticWaste,34.9960743051452,51.11760050143338,6.797638897966313,2.1273742344904956,75.90696819938357,0.5013791228558334,71,148,134,5.057897417605853,35.82836310046079,0.7951022009942148,0.43695233936776073,0.6163960872726084
93,Manure,58.9633060744152,51.636266806687004,6.785293122166437,3.754432957613478,84.43256924060896,0.2661660516939757,148,117,180,4.788013130841495,92.64212801712539,0.3293604880033218,0.5324199055410126,0.6090058185059521
94,CropResidue,45.5162650281042,69.39920634947822,7.8347518701571,3.2818915135613795,75.28036368855047,0.6897464440364164,95,156,100,3.212111466402753,83.61789151971632,0.5911160184026863,0.47394513945355154,0.4971070116229746
95,FoodWaste,46.26131515846016,58.632911360630814,7.960288804243805,1.929628972548083,74.04017089813765,0.33978548170523504,140,70,76,3.9969534604792782,46.03721051194705,0.5047474876279899,0.4006881691469798,0.5612527286513342
96,FoodWaste,39.509289120461865,58.65860162872362,6.918800471642816,4.304992876224721,71.8354394454202,0.36631751050298467,178,107,140,3.375318530762589,45.90742239189343,0.6437316969664263,0.5753238512556571,0.44243315293131674
97,FoodWaste,40.70826060350717,35.7028199030059,6.833594789597478,1.8039483712015438,70.44384773020678,0.7602010318119593,154,118,180,4.199275648562542,80.61694990237292,0.8067925562447013,0.3978018677545573,0.613396941633911
98,HorticWaste,48.837592897769255,56.54451133832665,6.378938581518646,4.433523172867814,80.25963219649078,0.4330342014894462,198,82,79,6.923650116255652,63.728076181771634,0.494196220702367,0.6990971437652381,0.49023481867995594
99,CropResidue,34.44776509875963,25.0,6.912100736797795,1.200299045418014,64.36311753785732,0.38713917484100513,123,109,121,4.582153329451659,64.59934016073395,0.849419055947572,0.3518556703059384,0.6899850477290993
100,HorticWaste,47.57138465808096,63.561865079051486,5.0,2.3549054655500554,63.37076726008914,0.8009155589874992,78,181,122,3.576029468681669,35.97674591765874,0.6050033591840326,0.40034322720473386,0.5801309965643943
101,HorticWaste,60.11080195135129,70.15937597839589,6.638877829294617,2.9551685738794014,83.88156280627919,0.45362685256694235,69,118,139,7.288500534442338,81.80514465689748,0.32004550568576484,0.5895828178648711,0.5369228193492381
102,CropResidue,25.0,48.307045796813135,6.935362041690677,2.8478843259446065,86.64687658194126,0.6664190770905218,151,158,130,3.2433784140071062,70.33648111558401,1.0,0.4389503843539837,0.5609916921091433
103,CropResidue,29.586881219228864,65.63007220633315,6.371962702492662,2.6831964804456097,91.89328903037907,0.7041879162317987,120,102,54,4.881692823736626,22.811709973494708,0.9056486018642974,0.4866631875939243,0.5345800315650532
104,CropResidue,51.75609961503058,53.41431482545299,6.485050233121483,3.7730246427232226,70.93069074238342,0.19321324114791302,194,116,156,4.447797457396373,50.689724564286436,0.38639499166492997,0.5612111248792993,0.5045201382129328
105,CropResidue,58.63967873660863,78.4817289292839,6.7609309848887165,2.942485993241403,57.73790167427306,0.4116282706846941,193,134,134,7.544730016221116,44.766713137621856,0.29543628159222646,0.6081345417117421,0.495912242479362
106,FoodWaste,40.10107269860318,63.42020593809103,6.994809316435477,3.014909343106364,56.081148459774084,0.8672064792296923,184,119,154,3.4660634972178195,94.4269872365759,0.7678798891911851,0.47121982640453186,0.4974141209684998
107,AgroByproduct,25.017593849554615,44.4204043411042,7.690261607616728,1.8937384299436533,88.29507016602646,0.14196750438417896,154,124,131,5.923739017950994,57.07072686655968,0.8631785771238464,0.42995174900180005,0.6914722698206089
108,AgroByproduct,59.319241739407516,77.56458592577212,7.341131563075294,3.3195939098045746,83.68238049368574,0.44726939396609017,110,57,65,5.480037420984982,23.249099276614874,0.30271726528752985,0.5321342291039848,0.553891132658227
109,CropResidue,36.88934848085476,72.40525851569159,7.70492951127054,2.0581986626096835,79.61306032325952,0.4679632005606472,101,141,197,1.0141811059881871,89.69013798487187,0.6848893696749245,0.28954834669203067,0.5522795498381327
110,AgroByproduct,41.387536570723874,53.817846977957295,7.458183589600265,3.639852742719067,81.36545113250061,0.4538680506258023,61,165,164,6.012701885496784,25.711387695070375,0.6470005800468663,0.5787973825993851,0.5853716689081321
111,AgroByproduct,48.19044872319777,67.43268535824635,7.091768097917697,3.9420240677447116,81.8435866013063,0.31473602709738646,99,75,128,5.274964102155343,64.94036934849215,0.4368959077292243,0.576313159476218,0.5430334258962717
112,CropResidue,38.335666280892426,67.19291263003156,8.5,2.5787773443367925,93.95923878238466,0.8097828596694917,191,145,81,3.701764292346958,46.51982298192846,0.7745661697101192,0.43371427299107695,0.5366753075230972
113,AgroByproduct,36.23870272842805,53.61592299057213,6.4271096812523405,3.023799632958805,64.08923799371149,0.28671804308146276,172,117,105,6.97959056313392,22.772448147488106,0.6995190856223822,0.5637179488640891,0.6165781723709155
114,HorticWaste,36.42199807435911,60.984710627286695,6.26955965476842,2.784115798304325,66.23675349309892,0.7087367433535866,177,156,140,2.3192746290414634,42.98434033048203,0.8004731460050207,0.38898244844774865,0.5638247888302104
115,Manure,63.57928560927683,63.667838210292814,6.8779121340491685,2.4295653041724448,79.87468719011929,0.3770561354738545,103,96,184,6.8250133718310355,18.99110430867308,0.29126342843328434,0.4984017767913675,0.6511860583707921
116,Manure,56.59613588425281,49.865491043519405,6.9518257748513905,2.279856834343981,82.69857609554282,0.6576878558826138,123,73,58,7.970398470565226,58.136372833850075,0.4755609835699229,0.5288780121748611,0.6862761761957621
117,CropResidue,50.745173406171816,80.19816694915656,7.110353894195954,1.3669145032624166,62.92102695917215,0.5721256529309261,119,96,129,4.120363839910812,81.73414981305099,0.4346791634485505,0.34842318593519017,0.571257940938566
118,FoodWaste,25.0,30.341798533911117,6.2365404914237175,1.8387394284182634,83.2848899678696,0.2898171913305225,160,107,155,4.1659996438587426,64.20851452541896,0.9499793427523384,0.39945327234622474,0.6223794315112646
119,CropResidue,50.78191895055587,70.15411519691354,8.5,2.596603651491495,70.56491610313755,0.27551847372808624,98,122,165,6.79622925241461,66.29069744771053,0.37527186549652763,0.5512422345898391,0.5298615870315981
120,FoodWaste,50.24200208409469,41.724531843684886,6.723751772726451,3.932654372134512,80.18699325663287,0.7034520082565217,73,107,72,4.928836205792878,54.27005033697769,0.5972300539189357,0.6025525553951089,0.49491821770590466
121,Manure,32.21866859814834,56.34702199361696,6.2290620669712,2.8429653611693526,62.074277323194366,0.3467346130549653,93,64,179,3.7504580880967886,23.117550513676395,0.7832014167388238,0.41755595840107557,0.6451576879542984
122,CropResidue,47.58710133473833,36.026917707409,7.2114049272228264,3.638001163366935,55.690955013510774,0.5173133447001463,100,123,80,3.8932815247448644,79.71366766060763,0.6022543508312594,0.5291648207918437,0.5460461064168353
123,PaperResidue,55.51492496258689,40.21463197725998,7.876493057362833,0.7573260561291879,80.7383855624055,0.01862755552246412,101,127,110,1.6221636359326501,99.87500276177977,0.32484101861283277,0.2239416410249067,0.6317044332390207
124,HorticWaste,50.69365918593773,58.693784922475274,8.28872945046393,3.8629731341311393,95.0,0.7577194054874155,120,129,151,4.591819139051527,32.160153438646944,0.5556534169777827,0.5641076455586939,0.5144637734484925
125,AgroByproduct,38.19830598299774,61.09109227560118,5.081407844151405,3.1570627425873865,75.41371780521328,0.584741670990542,171,108,163,2.4055806528288834,92.47362100810687,0.7280859454980859,0.4032978363633653,0.5949646783194283
126,FoodWaste,45.132646430839735,75.89700049220473,7.613824523257408,3.539300677457703,93.25424060785572,0.35753139184658056,57,117,150,5.901044609804632,16.60346068846172,0.4791112395646697,0.6062308959891489,0.4462409651427054
127,PaperResidue,52.30356931201199,54.01387266502263,8.405523530808157,0.5569452266137322,61.225809711041535,0.15464652862734699,93,79,62,6.55671429601695,40.785731950046944,0.36524750901549935,0.39228888831844666,0.6141249933392682
128,AgroByproduct,45.594520342176494,69.24608186366518,6.523796997151798,2.105786476127273,66.164105520197,0.41062836102485356,74,153,69,4.2989587952533705,75.47389933726276,0.5063896690402642,0.3866931611659408,0.631218512466306
129,AgroByproduct,57.54284889106895,59.846080139158154,6.814690243161661,1.4514447900025902,79.91907251033271,0.5402017267831165,173,57,58,3.298528707019707,78.94983180805986,0.40052832795866256,0.2946485590134548,0.6827356002215541
